HR@10,NDCG@10,elapsed_seconds,iter,method,n_test
0.23699213827041948,0.13327602545062672,23.685706615447998,1,eALS (popularity-aware),33326
0.48178599291844204,0.307142392659238,51.021663188934326,2,eALS (popularity-aware),33326
0.5694952889635719,0.3725953305552425,76.79499101638794,3,eALS (popularity-aware),33326
0.5994418772129868,0.39602917956694,105.03187990188599,4,eALS (popularity-aware),33326
0.6141151053231712,0.4070505941166954,132.86501145362854,5,eALS (popularity-aware),33326
0.6247674488387446,0.41381315242908023,161.87530183792114,6,eALS (popularity-aware),33326
0.631488927564064,0.41846368694041614,188.76695704460144,7,eALS (popularity-aware),33326
0.6378503270719559,0.42204167699584866,211.4294638633728,8,eALS (popularity-aware),33326
0.6430714757246594,0.42546262089415476,233.42320108413696,9,eALS (popularity-aware),33326
0.6458320830582728,0.4274541980287706,259.28086495399475,10,eALS (popularity-aware),33326
0.6476624857468644,0.42937724764184326,288.2081274986267,11,eALS (popularity-aware),33326
0.6490727960151234,0.4305593293030037,317.7352547645569,12,eALS (popularity-aware),33326
0.6497629478485267,0.4314543490502352,346.6116774082184,13,eALS (popularity-aware),33326
0.6513833043269519,0.4325992138825236,373.16660261154175,14,eALS (popularity-aware),33326
0.6520434495589029,0.43328912638583045,400.297696352005,15,eALS (popularity-aware),33326
0.2718898157594671,0.15426122693680583,29.02734923362732,1,eALS (uniform alpha=0),33326
0.5027005941307088,0.3122900719966264,59.52247953414917,2,eALS (uniform alpha=0),33326
0.5791874212326712,0.36887213533841967,74.76222681999207,3,eALS (uniform alpha=0),33326
0.6080237652283502,0.3898543011055792,91.00620794296265,4,eALS (uniform alpha=0),33326
0.6225169537298205,0.40053925785293193,105.43429780006409,5,eALS (uniform alpha=0),33326
0.6311888615495409,0.40776186330271647,125.41639852523804,6,eALS (uniform alpha=0),33326
0.6391706175358579,0.41342254648271576,148.03794765472412,7,eALS (uniform alpha=0),33326
0.6451419312248695,0.4173883606055455,170.71078157424927,8,eALS (uniform alpha=0),33326
0.6485026705875293,0.42023673655951077,189.13896822929382,9,eALS (uniform alpha=0),33326
0.6514433175298565,0.4228059819077259,206.28577971458435,10,eALS (uniform alpha=0),33326
0.6545640040808978,0.42513690057586745,225.20058679580688,11,eALS (uniform alpha=0),33326
0.656184360559323,0.4263819447129615,242.12650227546692,12,eALS (uniform alpha=0),33326
0.657774710436296,0.428000619240719,261.39218163490295,13,eALS (uniform alpha=0),33326
0.6589449678929364,0.4292830341791269,278.1886179447174,14,eALS (uniform alpha=0),33326
0.6602052451539339,0.4302201271099234,297.0315668582916,15,eALS (uniform alpha=0),33326
