HR@10,K,NDCG@10,axis,data_frac,n_partitions,n_test,n_train,seconds_per_iter
0.47098361639560704,8,0.29346950680091166,K,,8,33326,,3.8835182984670005
0.5297965552421533,16,0.33666684672092595,K,,8,33326,,6.290448745091756
0.5694952889635719,32,0.3725953305552425,K,,8,33326,,11.535007158915201
0.5607333613394947,64,0.3748771357535054,K,,8,33326,,21.96658190091451
0.5468102982656184,128,0.36996790636351023,K,,8,33326,,42.47142934799194
,32,,n_partitions,,1,,,21.504785617192585
,32,,n_partitions,,2,,,13.86538807551066
,32,,n_partitions,,4,,,9.687626202901205
,32,,n_partitions,,8,,,10.412196079889933
,32,,n_partitions,,16,,,11.165564775466919
,32,,data_frac,0.1,8,,92566,8.375141143798828
,32,,data_frac,0.25,8,,231415,9.927510499954224
,32,,data_frac,0.5,8,,462830,10.447212139765421
,32,,data_frac,0.75,8,,694245,10.595901171366373
,32,,data_frac,1.0,8,,925660,10.763420343399048
