HR@10,NDCG@10,alpha,c0,n_test,sweep
0.5479805557222589,0.3249068960412235,0.0,8,33326,c0
0.6078737322210886,0.3812340085301444,0.0,32,33326,c0
0.6473624197323411,0.41859599460247154,0.0,128,33326,c0
0.6514433175298565,0.4228059819077259,0.0,512,33326,c0
0.6184060493308527,0.4024886568053548,0.0,2048,33326,c0
0.6514433175298565,0.4228059819077259,0.0,512,33326,alpha
0.6515633439356658,0.4277538615853514,0.2,512,33326,alpha
0.6458320830582728,0.4274541980287706,0.4,512,33326,alpha
0.638240412890836,0.4235459709539031,0.5,512,33326,alpha
0.6265078317229791,0.4172705959378759,0.6,512,33326,alpha
0.5976414811258477,0.3943700890903204,0.8,512,33326,alpha
